user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8
1,4,0,1,0.083,0.0,0.0069999999999999,0.138,0.195,0.126,0.06,0.05,0.141
2,3,0,1,0.031,0.019,0.0,0.201,0.15,0.009,0.11,0.107,0.173
3,8,0,2,0.024,0.0,0.049,0.0,0.163,0.047,0.047,0.039,0.431
4,0,0,2,0.313,0.073,0.034,0.053,0.0,0.071,0.085,0.115,0.056
5,4,0,1,0.141,0.011,0.131,0.148,0.153,0.0,0.068,0.069,0.078
6,0,0,1,0.229,0.029,0.15,0.168,0.074,0.01,0.0,0.08,0.061
7,0,0,2,0.544,0.037,0.031,0.051,0.041,0.027,0.023,0.0,0.046
8,4,0,1,0.011,0.004,0.056,0.06,0.526,0.021,0.062,0.059,0.0
1,0,1,1,0.409,0.0,0.006,0.113,0.18,0.043,0.053,0.035,0.161
2,6,1,1,0.18,0.036,0.0,0.094,0.128,0.009,0.313,0.165,0.076
3,6,1,2,0.061,0.034,0.051,0.0,0.163,0.07,0.358,0.13,0.132
4,0,1,2,0.711,0.039,0.027,0.043,0.0,0.047,0.04,0.093,0.0
5,2,1,1,0.056,0.011,0.54,0.073,0.098,0.0,0.076,0.062,0.083
6,0,1,1,0.321,0.02,0.254,0.258,0.058,0.001,0.0,0.044,0.043
7,0,1,2,0.473,0.067,0.063,0.117,0.093,0.046,0.049,0.0,0.093
8,4,1,1,0.049,0.014,0.057,0.083,0.539,0.046,0.129,0.084,0.0
1,8,2,1,0.246,0.0,0.006,0.175,0.179,0.039,0.049,0.037,0.27
2,3,2,1,0.054,0.03,0.0,0.363,0.118,0.011,0.228,0.113,0.0819999999999999
3,6,2,2,0.056,0.014,0.049,0.0,0.219,0.016,0.306,0.254,0.086
4,0,2,2,0.701,0.041,0.029,0.029,0.0,0.059,0.049,0.093,0.0
5,0,2,1,0.361,0.001,0.084,0.152,0.156,0.0,0.071,0.099,0.076
6,0,2,1,0.273,0.024,0.267,0.256,0.061,0.004,0.0,0.061,0.053
7,0,2,2,0.447,0.063,0.067,0.157,0.085,0.043,0.061,0.0,0.077
8,4,2,1,0.086,0.06,0.157,0.091,0.247,0.061,0.199,0.099,0.0
1,3,3,1,0.046,0.0,0.176,0.287,0.183,0.054,0.122,0.073,0.059
2,3,3,1,0.07,0.029,0.0,0.597,0.101,0.0069999999999999,0.058,0.0819999999999999,0.056
3,6,3,2,0.124,0.016,0.02,0.0,0.217,0.023,0.334,0.186,0.08
4,0,3,2,0.561,0.046,0.027,0.037,0.0,0.071,0.118,0.134,0.006
5,0,3,1,0.657,0.0,0.089,0.057,0.089,0.0,0.03,0.059,0.02
6,3,3,1,0.14,0.029,0.113,0.305,0.107,0.009,0.0,0.179,0.12
7,0,3,2,0.61,0.054,0.049,0.09,0.064,0.033,0.033,0.0,0.067
8,4,3,1,0.113,0.063,0.084,0.095,0.25,0.076,0.222,0.098,0.0
1,0,4,1,0.43,0.0,0.014,0.22,0.142,0.031,0.073,0.031,0.058
2,3,4,1,0.223,0.014,0.0,0.545,0.074,0.003,0.039,0.063,0.039
3,6,4,2,0.237,0.021,0.026,0.0,0.17,0.024,0.28,0.141,0.1
4,0,4,2,0.604,0.044,0.011,0.081,0.0,0.05,0.145,0.057,0.0069999999999999
5,0,4,1,0.519,0.0069999999999999,0.081,0.063,0.131,0.0,0.061,0.081,0.056
6,0,4,1,0.357,0.024,0.119,0.224,0.086,0.009,0.0,0.059,0.123
7,0,4,2,0.679,0.044,0.046,0.068,0.048,0.024,0.027,0.0,0.064
8,2,4,1,0.193,0.021,0.294,0.126,0.16,0.031,0.117,0.057,0.0
1,0,5,1,0.631,0.0,0.0,0.055,0.123,0.017,0.073,0.02,0.08
2,3,5,1,0.246,0.013,0.0,0.466,0.091,0.006,0.052,0.069,0.057
3,0,5,2,0.48,0.024,0.016,0.0,0.134,0.023,0.152,0.093,0.079
4,0,5,2,0.653,0.04,0.01,0.173,0.0,0.034,0.045,0.044,0.001
5,0,5,1,0.477,0.003,0.039,0.08,0.128,0.0,0.144,0.064,0.065
6,0,5,1,0.291,0.247,0.089,0.1689999999999999,0.079,0.023,0.0,0.041,0.061
7,0,5,2,0.389,0.031,0.054,0.338,0.081,0.034,0.02,0.0,0.053
8,3,5,1,0.19,0.006,0.046,0.393,0.148,0.063,0.104,0.05,0.0
1,0,6,1,0.63,0.0,0.0,0.047,0.112,0.011,0.084,0.038,0.077
2,3,6,1,0.09,0.027,0.0,0.476,0.117,0.01,0.094,0.095,0.09
3,6,6,2,0.08,0.03,0.029,0.0,0.195,0.026,0.356,0.158,0.126
4,0,6,2,0.7040000000000001,0.036,0.011,0.077,0.0,0.037,0.075,0.06,0.0
5,0,6,1,0.6559999999999999,0.0,0.051,0.069,0.103,0.0,0.072,0.029,0.02
6,2,6,1,0.203,0.044,0.263,0.226,0.088,0.019,0.0,0.073,0.084
7,3,6,2,0.111,0.023,0.05,0.5920000000000001,0.103,0.043,0.021,0.0,0.057
8,5,6,1,0.07,0.009,0.003,0.076,0.145,0.613,0.029,0.056,0.0
1,0,7,1,0.721,0.0,0.0,0.038,0.078,0.021,0.067,0.018,0.057
2,0,7,1,0.349,0.084,0.0,0.16,0.106,0.016,0.15,0.093,0.043
3,0,7,2,0.581,0.01,0.013,0.0,0.079,0.014,0.16,0.0819999999999999,0.061
