user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6
1,6,0,2,0.069,0.0,0.046,0.057,0.011,0.011,0.606
2,0,0,2,0.434,0.091,0.0,0.034,0.049,0.103,0.089
3,6,0,1,0.071,0.039,0.069,0.0,0.014,0.029,0.579
4,5,0,1,0.099,0.074,0.023,0.0,0.0,0.5539999999999999,0.05
5,0,0,1,0.5,0.069,0.034,0.09,0.011,0.0,0.096
6,2,0,2,0.083,0.034,0.56,0.054,0.034,0.034,0.0
1,6,1,2,0.081,0.0,0.057,0.076,0.014,0.026,0.746
2,0,1,2,0.5429999999999999,0.114,0.0,0.043,0.07,0.129,0.101
3,6,1,1,0.071,0.029,0.114,0.0,0.026,0.057,0.703
4,5,1,1,0.114,0.071,0.029,0.0,0.0,0.7140000000000001,0.071
5,0,1,1,0.614,0.1,0.043,0.114,0.014,0.0,0.114
6,2,1,2,0.08,0.043,0.7,0.091,0.043,0.043,0.0
1,2,2,2,0.079,0.0,0.45,0.1,0.033,0.063,0.276
2,0,2,2,0.5429999999999999,0.114,0.0,0.043,0.071,0.129,0.1
3,6,2,1,0.071,0.029,0.114,0.0,0.02,0.057,0.7090000000000001
4,5,2,1,0.114,0.08,0.029,0.0,0.0,0.706,0.071
5,0,2,1,0.614,0.09,0.056,0.113,0.013,0.0,0.114
6,2,2,2,0.071,0.043,0.7,0.1,0.043,0.043,0.0
1,2,3,2,0.26,0.0,0.294,0.14,0.1,0.111,0.094
2,0,3,2,0.5429999999999999,0.114,0.0,0.043,0.074,0.123,0.103
3,6,3,1,0.099,0.037,0.093,0.0,0.019,0.043,0.71
4,5,3,1,0.129,0.089,0.027,0.0,0.0,0.703,0.053
5,0,3,1,0.614,0.1,0.043,0.114,0.014,0.0,0.114
6,2,3,2,0.103,0.043,0.6809999999999999,0.074,0.049,0.05,0.0
1,0,4,2,0.599,0.0,0.091,0.066,0.069,0.101,0.074
2,0,4,2,0.574,0.099,0.0,0.04,0.083,0.104,0.1
3,6,4,1,0.244,0.039,0.049,0.0,0.206,0.057,0.406
4,5,4,1,0.326,0.08,0.024,0.003,0.0,0.513,0.054
5,0,4,1,0.6509999999999999,0.084,0.041,0.114,0.0069999999999999,0.0,0.101
6,2,4,2,0.246,0.04,0.5710000000000001,0.07,0.06,0.013,0.0
1,6,5,2,0.187,0.0,0.183,0.143,0.13,0.131,0.226
2,0,5,2,0.5489999999999999,0.114,0.0,0.043,0.084,0.099,0.111
3,6,5,1,0.109,0.079,0.069,0.0,0.031,0.04,0.6729999999999999
4,5,5,1,0.27,0.11,0.037,0.004,0.0,0.52,0.059
5,0,5,1,0.583,0.093,0.041,0.103,0.017,0.0,0.163
6,2,5,2,0.13,0.043,0.6709999999999999,0.063,0.047,0.046,0.0
1,6,6,2,0.199,0.0,0.147,0.139,0.116,0.124,0.276
2,0,6,2,0.5429999999999999,0.114,0.0,0.043,0.071,0.114,0.114
3,6,6,1,0.181,0.113,0.123,0.0,0.063,0.081,0.439
4,5,6,1,0.151,0.077,0.024,0.0,0.0,0.69,0.057
5,0,6,1,0.611,0.101,0.043,0.113,0.014,0.0,0.117
6,2,6,2,0.109,0.043,0.691,0.067,0.043,0.047,0.0
1,0,7,2,0.316,0.0,0.129,0.126,0.094,0.116,0.22
2,0,7,2,0.5429999999999999,0.114,0.0,0.043,0.07,0.12,0.11
3,6,7,1,0.071,0.084,0.077,0.0,0.029,0.026,0.713
4,5,7,1,0.124,0.091,0.027,0.0,0.0,0.703,0.054
5,0,7,1,0.606,0.106,0.043,0.111,0.014,0.0,0.12
6,2,7,2,0.084,0.043,0.7,0.076,0.043,0.054,0.0
1,0,8,2,0.386,0.0,0.089,0.081,0.047,0.091,0.306
2,0,8,2,0.5489999999999999,0.114,0.0,0.044,0.084,0.096,0.113
3,6,8,1,0.144,0.111,0.084,0.0,0.084,0.07,0.506
4,5,8,1,0.177,0.181,0.036,0.0069999999999999,0.0,0.5539999999999999,0.044
5,0,8,1,0.494,0.08,0.041,0.079,0.021,0.0,0.284
6,2,8,2,0.177,0.056,0.52,0.091,0.109,0.047,0.0
1,0,9,2,0.659,0.0,0.073,0.05,0.054,0.123,0.041
2,0,9,2,0.5429999999999999,0.114,0.0,0.057,0.089,0.086,0.111
3,6,9,1,0.127,0.109,0.086,0.0,0.067,0.064,0.547
4,3,9,1,0.076,0.077,0.036,0.731,0.0,0.061,0.019
5,0,9,1,0.626,0.071,0.029,0.113,0.014,0.0,0.147
6,4,9,2,0.107,0.041,0.036,0.039,0.726,0.051,0.0
1,0,10,2,0.706,0.0,0.059,0.046,0.046,0.089,0.056
2,0,10,2,0.634,0.086,0.0,0.054,0.074,0.077,0.074
3,6,10,1,0.241,0.066,0.061,0.0,0.031,0.02,0.58
4,3,10,1,0.214,0.07,0.006,0.643,0.0,0.049,0.019
5,0,10,1,0.691,0.066,0.021,0.091,0.009,0.0,0.121
6,0,10,2,0.46,0.041,0.079,0.087,0.186,0.147,0.0
1,6,11,2,0.194,0.0,0.05,0.067,0.017,0.019,0.653
2,0,11,2,0.5529999999999999,0.114,0.0,0.056,0.087,0.089,0.101
3,6,11,1,0.13,0.083,0.091,0.0,0.03,0.036,0.63
4,3,11,1,0.174,0.261,0.051,0.361,0.0,0.119,0.033
5,0,11,1,0.363,0.11,0.123,0.129,0.073,0.0,0.203
6,0,11,2,0.654,0.08,0.086,0.064,0.033,0.083,0.0
1,6,12,2,0.114,0.0,0.053,0.071,0.013,0.014,0.7340000000000001
2,0,12,2,0.527,0.129,0.0,0.057,0.09,0.089,0.109
3,0,12,1,0.301,0.1369999999999999,0.147,0.0,0.049,0.119,0.247
4,3,12,1,0.114,0.331,0.047,0.351,0.0,0.126,0.03
5,6,12,1,0.201,0.083,0.109,0.081,0.07,0.0,0.456
6,0,12,2,0.639,0.087,0.093,0.07,0.027,0.084,0.0
1,6,13,2,0.1,0.0,0.057,0.071,0.014,0.014,0.743
2,0,13,2,0.394,0.11,0.0,0.063,0.1369999999999999,0.101,0.194
3,5,13,1,0.089,0.064,0.031,0.0,0.043,0.6559999999999999,0.117
4,3,13,1,0.074,0.133,0.027,0.644,0.0,0.099,0.023
5,6,13,1,0.183,0.079,0.083,0.064,0.067,0.0,0.524
6,0,13,2,0.633,0.094,0.096,0.071,0.02,0.086,0.0
1,6,14,2,0.1,0.0,0.057,0.071,0.014,0.014,0.743
2,5,14,2,0.253,0.103,0.0,0.061,0.053,0.414,0.116
3,5,14,1,0.097,0.05,0.03,0.0,0.04,0.513,0.27
4,3,14,1,0.08,0.166,0.029,0.597,0.0,0.107,0.021
5,6,14,1,0.246,0.134,0.116,0.099,0.093,0.0,0.313
