user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6
1,3,0,1,0.019,0.0,0.054,0.343,0.286,0.033,0.066
2,3,0,2,0.076,0.074,0.0,0.3229999999999999,0.084,0.04,0.203
3,5,0,1,0.023,0.06,0.011,0.0,0.139,0.513,0.054
4,3,0,1,0.033,0.054,0.023,0.633,0.0,0.046,0.011
5,3,0,2,0.034,0.041,0.014,0.61,0.1,0.0,0.0
6,2,0,1,0.076,0.12,0.221,0.221,0.043,0.119,0.0
1,3,1,1,0.02,0.0,0.081,0.473,0.296,0.034,0.096
2,6,1,2,0.129,0.149,0.0,0.114,0.139,0.081,0.389
3,5,1,1,0.029,0.071,0.014,0.0,0.171,0.644,0.07
4,3,1,1,0.096,0.054,0.049,0.7390000000000001,0.0,0.051,0.011
5,2,1,2,0.143,0.067,0.373,0.293,0.077,0.0,0.047
6,5,1,1,0.094,0.21,0.127,0.16,0.069,0.34,0.0
1,4,2,1,0.031,0.0,0.071,0.129,0.66,0.06,0.049
2,6,2,2,0.053,0.094,0.0,0.059,0.056,0.0069999999999999,0.731
3,5,2,1,0.029,0.071,0.014,0.0,0.171,0.643,0.071
4,3,2,1,0.053,0.057,0.044,0.774,0.0,0.057,0.014
5,0,2,2,0.586,0.073,0.099,0.107,0.041,0.0,0.094
6,5,2,1,0.111,0.227,0.14,0.151,0.08,0.29,0.0
1,4,3,1,0.029,0.0,0.091,0.13,0.634,0.056,0.06
2,6,3,2,0.059,0.091,0.0,0.06,0.071,0.0069999999999999,0.711
3,5,3,1,0.029,0.099,0.014,0.0,0.163,0.643,0.053
4,3,3,1,0.057,0.057,0.047,0.769,0.0,0.057,0.013
5,0,3,2,0.614,0.071,0.086,0.1,0.043,0.0,0.086
6,5,3,1,0.09,0.194,0.119,0.126,0.074,0.397,0.0
1,4,4,1,0.029,0.0,0.074,0.129,0.657,0.061,0.05
2,6,4,2,0.046,0.086,0.0,0.057,0.057,0.006,0.7490000000000001
3,5,4,1,0.029,0.097,0.014,0.0,0.1669999999999999,0.637,0.056
4,3,4,1,0.089,0.049,0.051,0.746,0.0,0.049,0.017
5,3,4,2,0.089,0.103,0.111,0.53,0.111,0.0,0.056
6,5,4,1,0.037,0.147,0.094,0.059,0.049,0.614,0.0
1,4,5,1,0.03,0.0,0.071,0.144,0.634,0.063,0.057
2,6,5,2,0.053,0.094,0.0,0.057,0.051,0.0069999999999999,0.737
3,5,5,1,0.029,0.076,0.014,0.0,0.171,0.643,0.067
4,3,5,1,0.056,0.056,0.051,0.763,0.0,0.056,0.019
5,3,5,2,0.231,0.124,0.186,0.233,0.119,0.0,0.107
6,5,5,1,0.08,0.15,0.119,0.1,0.07,0.481,0.0
1,4,6,1,0.029,0.0,0.077,0.129,0.6629999999999999,0.046,0.057
2,6,6,2,0.043,0.096,0.0,0.057,0.034,0.0,0.77
3,5,6,1,0.029,0.073,0.014,0.0,0.171,0.643,0.07
4,3,6,1,0.05,0.057,0.043,0.779,0.0,0.057,0.014
5,0,6,2,0.614,0.071,0.086,0.086,0.054,0.0,0.089
6,5,6,1,0.077,0.124,0.089,0.043,0.057,0.61,0.0
1,4,7,1,0.027,0.0,0.119,0.174,0.5329999999999999,0.064,0.083
