user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6
1,0,0,1,0.27,0.0,0.067,0.084,0.17,0.14,0.069
2,6,0,1,0.279,0.047,0.0,0.046,0.017,0.033,0.379
3,0,0,1,0.384,0.021,0.307,0.0,0.033,0.027,0.027
4,0,0,2,0.363,0.113,0.117,0.106,0.0,0.034,0.067
5,1,0,2,0.239,0.413,0.053,0.0,0.041,0.0,0.054
6,0,0,1,0.536,0.054,0.08,0.059,0.029,0.043,0.0
1,3,1,1,0.186,0.0,0.076,0.599,0.023,0.014,0.103
2,0,1,1,0.627,0.127,0.0,0.046,0.03,0.086,0.084
3,0,1,1,0.63,0.047,0.146,0.0,0.07,0.043,0.064
4,0,1,2,0.721,0.014,0.104,0.071,0.0,0.046,0.043
5,1,1,2,0.3,0.519,0.066,0.0,0.049,0.0,0.067
6,2,1,1,0.183,0.084,0.593,0.07,0.046,0.024,0.0
1,4,2,1,0.239,0.0,0.064,0.179,0.426,0.011,0.081
2,0,2,1,0.65,0.123,0.0,0.043,0.029,0.084,0.071
3,2,2,1,0.304,0.036,0.536,0.0,0.043,0.043,0.039
4,0,2,2,0.727,0.014,0.101,0.071,0.0,0.043,0.043
5,1,2,2,0.33,0.499,0.06,0.0,0.051,0.0,0.06
6,2,2,1,0.16,0.094,0.6,0.059,0.044,0.043,0.0
1,4,3,1,0.296,0.0,0.126,0.07,0.356,0.027,0.126
2,0,3,1,0.674,0.129,0.0,0.037,0.034,0.083,0.043
3,2,3,1,0.34,0.051,0.464,0.0,0.047,0.047,0.05
4,0,3,2,0.7340000000000001,0.014,0.1,0.071,0.0,0.037,0.043
5,1,3,2,0.327,0.496,0.061,0.0,0.056,0.0,0.06
6,2,3,1,0.274,0.113,0.399,0.121,0.046,0.047,0.0
1,2,4,1,0.203,0.0,0.353,0.116,0.097,0.026,0.206
2,0,4,1,0.564,0.134,0.0,0.056,0.054,0.096,0.096
3,0,4,1,0.643,0.084,0.09,0.0,0.071,0.043,0.069
4,0,4,2,0.509,0.101,0.129,0.113,0.0,0.047,0.101
5,1,4,2,0.231,0.5670000000000001,0.076,0.0,0.057,0.0,0.069
6,3,4,1,0.267,0.12,0.1369999999999999,0.299,0.113,0.064,0.0
1,4,5,1,0.111,0.0,0.149,0.08,0.383,0.166,0.111
2,0,5,1,0.61,0.114,0.0,0.054,0.043,0.086,0.093
3,0,5,1,0.64,0.089,0.096,0.0,0.07,0.043,0.063
4,6,5,2,0.157,0.053,0.096,0.126,0.0,0.054,0.514
5,1,5,2,0.203,0.569,0.09,0.003,0.053,0.0,0.083
6,2,5,1,0.257,0.079,0.456,0.097,0.057,0.054,0.0
1,0,6,1,0.63,0.0,0.119,0.046,0.057,0.106,0.043
2,0,6,1,0.627,0.127,0.0,0.054,0.034,0.089,0.069
3,0,6,1,0.6559999999999999,0.093,0.089,0.0,0.069,0.043,0.051
4,6,6,2,0.224,0.036,0.061,0.089,0.0,0.043,0.547
5,1,6,2,0.269,0.511,0.08,0.0,0.059,0.0,0.081
6,2,6,1,0.126,0.086,0.634,0.071,0.056,0.027,0.0
1,0,7,1,0.459,0.0,0.124,0.044,0.064,0.244,0.064
2,0,7,1,0.597,0.123,0.0,0.069,0.044,0.093,0.074
3,0,7,1,0.643,0.091,0.086,0.0,0.071,0.043,0.066
4,0,7,2,0.291,0.081,0.17,0.196,0.0,0.064,0.197
5,6,7,2,0.141,0.074,0.061,0.0,0.033,0.0,0.69
6,2,7,1,0.129,0.084,0.633,0.073,0.054,0.027,0.0
1,0,8,1,0.637,0.0,0.121,0.049,0.056,0.083,0.054
2,0,8,1,0.67,0.12,0.0,0.043,0.043,0.077,0.047
3,0,8,1,0.643,0.087,0.086,0.0,0.071,0.043,0.07
4,0,8,2,0.451,0.096,0.103,0.123,0.0,0.063,0.1639999999999999
5,6,8,2,0.22,0.04,0.047,0.0,0.027,0.0,0.6659999999999999
6,2,8,1,0.331,0.083,0.48,0.059,0.033,0.014,0.0
1,0,9,1,0.499,0.0,0.114,0.056,0.047,0.21,0.074
2,0,9,1,0.706,0.096,0.0,0.056,0.029,0.07,0.044
3,0,9,1,0.6459999999999999,0.081,0.093,0.0,0.071,0.043,0.066
4,0,9,2,0.33,0.084,0.159,0.22,0.0,0.08,0.127
5,1,9,2,0.219,0.423,0.079,0.003,0.051,0.0,0.226
6,2,9,1,0.204,0.076,0.556,0.077,0.056,0.031,0.0
1,5,10,1,0.307,0.0,0.099,0.039,0.043,0.411,0.101
2,0,10,1,0.489,0.084,0.0,0.059,0.047,0.057,0.264
3,0,10,1,0.6509999999999999,0.094,0.091,0.0,0.067,0.043,0.053
4,0,10,2,0.436,0.087,0.096,0.124,0.0,0.061,0.196
5,1,10,2,0.329,0.479,0.076,0.0,0.051,0.0,0.066
6,0,10,1,0.6729999999999999,0.049,0.094,0.093,0.04,0.051,0.0
1,5,11,1,0.111,0.0,0.134,0.03,0.043,0.611,0.07
2,0,11,1,0.5710000000000001,0.116,0.0,0.044,0.034,0.083,0.151
3,0,11,1,0.643,0.101,0.1,0.0,0.057,0.043,0.056
4,2,11,2,0.29,0.084,0.306,0.131,0.0,0.043,0.146
5,6,11,2,0.211,0.211,0.069,0.004,0.026,0.0,0.479
6,2,11,1,0.334,0.041,0.479,0.076,0.03,0.04,0.0
