user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7
1,7,0,2,0.016,0.0,0.194,0.023,0.067,0.023,0.021,0.455
2,7,0,1,0.02,0.24,0.0,0.072,0.057,0.053,0.054,0.304
3,7,0,1,0.006,0.026,0.039,0.0,0.033,0.044,0.0069999999999999,0.6459999999999999
4,5,0,1,0.08,0.039,0.06,0.084,0.0,0.306,0.041,0.19
5,0,0,2,0.234,0.063,0.047,0.066,0.024,0.0,0.226,0.14
6,7,0,1,0.084,0.067,0.086,0.11,0.083,0.104,0.0,0.266
7,3,0,2,0.044,0.029,0.096,0.319,0.096,0.14,0.077,0.0
1,7,1,2,0.016,0.0,0.059,0.012,0.073,0.019,0.021,0.8009999999999999
2,1,1,1,0.017,0.603,0.0,0.054,0.046,0.057,0.07,0.153
3,7,1,1,0.004,0.02,0.031,0.0,0.026,0.023,0.006,0.89
4,7,1,1,0.166,0.051,0.091,0.131,0.0,0.151,0.074,0.334
5,7,1,2,0.091,0.134,0.049,0.091,0.041,0.0,0.031,0.562
6,7,1,1,0.114,0.084,0.1,0.1369999999999999,0.096,0.126,0.0,0.343
7,3,1,2,0.059,0.044,0.119,0.373,0.123,0.194,0.089,0.0
1,7,2,2,0.014,0.0,0.057,0.013,0.071,0.021,0.029,0.794
2,1,2,1,0.019,0.374,0.0,0.063,0.049,0.073,0.064,0.359
3,7,2,1,0.006,0.023,0.037,0.0,0.029,0.029,0.006,0.871
4,0,2,1,0.334,0.039,0.073,0.114,0.0,0.131,0.057,0.252
5,1,2,2,0.057,0.48,0.06,0.054,0.017,0.0,0.039,0.294
6,5,2,1,0.199,0.053,0.067,0.068,0.054,0.309,0.0,0.251
7,3,2,2,0.089,0.056,0.13,0.319,0.099,0.194,0.114,0.0
1,7,3,2,0.016,0.0,0.056,0.025,0.067,0.059,0.029,0.75
2,7,3,1,0.056,0.049,0.0,0.099,0.089,0.066,0.244,0.398
3,7,3,1,0.013,0.024,0.033,0.0,0.029,0.046,0.017,0.8390000000000001
4,7,3,1,0.201,0.021,0.083,0.134,0.0,0.1369999999999999,0.04,0.384
5,7,3,2,0.153,0.276,0.069,0.091,0.066,0.0,0.037,0.309
6,0,3,1,0.491,0.057,0.04,0.033,0.027,0.059,0.0,0.293
7,3,3,2,0.087,0.064,0.114,0.289,0.113,0.203,0.13,0.0
1,5,4,2,0.03,0.0,0.123,0.051,0.099,0.39,0.083,0.225
2,7,4,1,0.026,0.044,0.0,0.081,0.067,0.087,0.16,0.535
3,7,4,1,0.049,0.081,0.121,0.0,0.09,0.18,0.14,0.339
4,7,4,1,0.131,0.036,0.109,0.128,0.0,0.1369999999999999,0.041,0.418
5,1,4,2,0.034,0.353,0.051,0.052,0.334,0.0,0.034,0.141
6,0,4,1,0.397,0.051,0.024,0.03,0.049,0.07,0.0,0.379
7,5,4,2,0.16,0.129,0.17,0.071,0.093,0.196,0.181,0.0
1,0,5,2,0.391,0.0,0.093,0.032,0.143,0.109,0.056,0.176
2,7,5,1,0.019,0.214,0.0,0.095,0.097,0.087,0.06,0.428
3,7,5,1,0.03,0.1639999999999999,0.069,0.0,0.081,0.109,0.039,0.509
4,1,5,1,0.039,0.381,0.106,0.103,0.0,0.123,0.023,0.226
5,4,5,2,0.051,0.084,0.04,0.077,0.557,0.0,0.023,0.1669999999999999
6,7,5,1,0.047,0.08,0.023,0.042,0.049,0.084,0.0,0.675
7,1,5,2,0.151,0.277,0.133,0.049,0.09,0.14,0.16,0.0
1,5,6,2,0.03,0.0,0.057,0.027,0.111,0.65,0.027,0.097
