user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8
1,4,0,2,0.049,0.0,0.058,0.152,0.194,0.053,0.1369999999999999,0.073,0.085
2,7,0,2,0.016,0.003,0.0,0.101,0.081,0.009,0.11,0.413,0.069
3,2,0,1,0.016,0.013,0.312,0.0,0.079,0.02,0.296,0.019,0.045
4,6,0,1,0.011,0.034,0.063,0.057,0.0,0.013,0.5579999999999999,0.029,0.034
5,0,0,1,0.453,0.06,0.043,0.058,0.151,0.0,0.077,0.014,0.044
6,2,0,2,0.031,0.051,0.55,0.072,0.095,0.029,0.0,0.011,0.06
7,3,0,1,0.06,0.053,0.114,0.286,0.229,0.024,0.075,0.0,0.059
8,4,0,1,0.053,0.02,0.075,0.156,0.224,0.056,0.156,0.06,0.0
1,4,1,2,0.054,0.0,0.086,0.143,0.265,0.06,0.211,0.084,0.096
2,7,1,2,0.029,0.004,0.0,0.094,0.135,0.004,0.221,0.439,0.074
3,6,1,1,0.014,0.003,0.382,0.0,0.094,0.014,0.41,0.04,0.044
4,6,1,1,0.014,0.041,0.072,0.081,0.0,0.014,0.7070000000000001,0.029,0.043
5,0,1,1,0.514,0.071,0.043,0.061,0.16,0.0,0.099,0.014,0.037
6,7,1,2,0.03,0.039,0.31,0.085,0.088,0.014,0.0,0.384,0.049
7,3,1,1,0.017,0.027,0.076,0.4270000000000001,0.292,0.024,0.067,0.0,0.069
8,4,1,1,0.016,0.014,0.017,0.054,0.753,0.043,0.073,0.03,0.0
1,2,2,2,0.041,0.0,0.239,0.102,0.207,0.03,0.232,0.06,0.088
2,7,2,2,0.029,0.021,0.0,0.11,0.297,0.027,0.089,0.326,0.102
3,2,2,1,0.03,0.014,0.308,0.0,0.179,0.051,0.299,0.036,0.083
4,6,2,1,0.02,0.046,0.107,0.089,0.0,0.029,0.512,0.134,0.064
5,0,2,1,0.517,0.069,0.042,0.065,0.174,0.0,0.062,0.014,0.056
6,7,2,2,0.027,0.031,0.047,0.084,0.083,0.0,0.0,0.6759999999999999,0.051
7,4,2,1,0.056,0.033,0.127,0.28,0.317,0.034,0.073,0.0,0.081
8,4,2,1,0.019,0.014,0.021,0.053,0.73,0.054,0.08,0.029,0.0
1,4,3,2,0.1669999999999999,0.0,0.088,0.118,0.254,0.071,0.104,0.101,0.097
2,4,3,2,0.03,0.03,0.0,0.157,0.352,0.037,0.02,0.257,0.116
3,6,3,1,0.01,0.013,0.353,0.0,0.122,0.03,0.417,0.021,0.034
4,6,3,1,0.037,0.057,0.145,0.103,0.0,0.034,0.435,0.116,0.073
5,0,3,1,0.519,0.07,0.049,0.073,0.152,0.0,0.064,0.014,0.059
6,2,3,2,0.029,0.04,0.599,0.095,0.127,0.034,0.0,0.01,0.067
7,4,3,1,0.094,0.074,0.098,0.221,0.318,0.046,0.065,0.0,0.083
8,4,3,1,0.016,0.014,0.026,0.051,0.721,0.054,0.087,0.03,0.0
1,0,4,2,0.386,0.0,0.112,0.075,0.17,0.04,0.079,0.084,0.054
2,7,4,2,0.029,0.049,0.0,0.146,0.263,0.043,0.049,0.333,0.089
3,6,4,1,0.0,0.014,0.365,0.0,0.092,0.029,0.441,0.027,0.032
4,6,4,1,0.027,0.033,0.127,0.097,0.0,0.1639999999999999,0.386,0.086,0.08
5,0,4,1,0.524,0.071,0.047,0.069,0.14,0.0,0.061,0.014,0.073
6,2,4,2,0.024,0.027,0.733,0.081,0.051,0.04,0.0,0.0,0.044
7,4,4,1,0.11,0.101,0.05,0.207,0.332,0.047,0.06,0.0,0.092
8,4,4,1,0.014,0.014,0.026,0.066,0.7120000000000001,0.057,0.083,0.029,0.0
1,0,5,2,0.7090000000000001,0.0,0.004,0.031,0.127,0.029,0.029,0.046,0.026
2,7,5,2,0.03,0.03,0.0,0.067,0.1639999999999999,0.017,0.037,0.5589999999999999,0.097
3,6,5,1,0.014,0.017,0.31,0.0,0.173,0.05,0.3229999999999999,0.034,0.079
4,6,5,1,0.019,0.037,0.133,0.104,0.0,0.161,0.3,0.144,0.101
5,0,5,1,0.523,0.071,0.04,0.074,0.148,0.0,0.048,0.014,0.08
6,2,5,2,0.016,0.036,0.363,0.215,0.22,0.053,0.0,0.003,0.094
7,4,5,1,0.11,0.099,0.081,0.225,0.322,0.039,0.052,0.0,0.073
8,4,5,1,0.037,0.019,0.041,0.118,0.557,0.056,0.123,0.049,0.0
1,2,6,2,0.107,0.0,0.483,0.125,0.108,0.029,0.092,0.034,0.023
2,7,6,2,0.027,0.046,0.0,0.132,0.27,0.037,0.046,0.349,0.092
3,4,6,1,0.107,0.019,0.144,0.0,0.36,0.073,0.141,0.044,0.113
4,7,6,1,0.014,0.023,0.065,0.071,0.0,0.08,0.209,0.454,0.083
5,0,6,1,0.504,0.071,0.045,0.08,0.145,0.0,0.074,0.014,0.066
6,3,6,2,0.014,0.035,0.016,0.424,0.32,0.061,0.0,0.011,0.118
7,4,6,1,0.131,0.094,0.039,0.238,0.337,0.037,0.054,0.0,0.069
8,4,6,1,0.014,0.014,0.022,0.057,0.7290000000000001,0.057,0.078,0.029,0.0
1,4,7,2,0.021,0.0,0.192,0.109,0.395,0.043,0.078,0.044,0.118
2,7,7,2,0.014,0.042,0.0,0.095,0.084,0.029,0.044,0.584,0.108
3,4,7,1,0.143,0.03,0.083,0.0,0.374,0.081,0.093,0.071,0.124
4,7,7,1,0.014,0.016,0.0,0.04,0.0,0.026,0.119,0.703,0.083
5,0,7,1,0.496,0.057,0.043,0.084,0.168,0.0,0.072,0.014,0.066
6,3,7,2,0.02,0.044,0.136,0.376,0.239,0.034,0.0,0.029,0.123
7,4,7,1,0.08,0.06,0.032,0.258,0.357,0.033,0.057,0.0,0.124
8,4,7,1,0.011,0.014,0.034,0.068,0.7020000000000001,0.056,0.085,0.03,0.0
1,4,8,2,0.017,0.0,0.011,0.102,0.547,0.063,0.031,0.05,0.178
2,7,8,2,0.014,0.047,0.0,0.093,0.079,0.029,0.057,0.586,0.095
3,4,8,1,0.123,0.046,0.158,0.0,0.278,0.084,0.162,0.056,0.093
4,7,8,1,0.021,0.036,0.077,0.074,0.0,0.027,0.311,0.39,0.064
5,0,8,1,0.516,0.064,0.047,0.079,0.145,0.0,0.068,0.014,0.066
6,2,8,2,0.019,0.056,0.693,0.053,0.087,0.031,0.0,0.001,0.06
7,2,8,1,0.01,0.036,0.4370000000000001,0.237,0.131,0.014,0.092,0.0,0.044
8,4,8,1,0.04,0.018,0.067,0.109,0.5,0.067,0.148,0.05,0.0
1,4,9,2,0.02,0.0,0.021,0.085,0.54,0.073,0.044,0.059,0.159
2,7,9,2,0.014,0.052,0.0,0.074,0.081,0.029,0.057,0.583,0.111
3,6,9,1,0.019,0.017,0.384,0.0,0.138,0.014,0.39,0.016,0.022
4,6,9,1,0.021,0.043,0.107,0.087,0.0,0.017,0.608,0.074,0.043
5,0,9,1,0.496,0.07,0.039,0.064,0.183,0.0,0.064,0.014,0.07
6,3,9,2,0.133,0.092,0.069,0.317,0.197,0.06,0.0,0.014,0.12
7,2,9,1,0.026,0.03,0.288,0.227,0.266,0.03,0.078,0.0,0.056
8,4,9,1,0.0069999999999999,0.014,0.032,0.057,0.746,0.057,0.058,0.029,0.0
1,0,10,2,0.474,0.0,0.023,0.049,0.258,0.047,0.047,0.046,0.056
2,4,10,2,0.014,0.041,0.0,0.072,0.358,0.034,0.046,0.346,0.089
3,6,10,1,0.004,0.014,0.3670000000000001,0.0,0.138,0.024,0.396,0.02,0.036
4,6,10,1,0.014,0.043,0.089,0.081,0.0,0.014,0.691,0.023,0.044
5,0,10,1,0.48,0.069,0.039,0.066,0.191,0.0,0.071,0.014,0.071
6,3,10,2,0.091,0.067,0.017,0.456,0.193,0.054,0.0,0.0069999999999999,0.115
7,4,10,1,0.021,0.023,0.029,0.254,0.5,0.046,0.044,0.0,0.083
8,4,10,1,0.013,0.014,0.026,0.062,0.737,0.057,0.062,0.029,0.0
1,0,11,2,0.266,0.0,0.08,0.107,0.23,0.059,0.092,0.073,0.092
2,4,11,2,0.023,0.033,0.0,0.116,0.431,0.04,0.043,0.233,0.0819999999999999
3,6,11,1,0.0069999999999999,0.016,0.354,0.0,0.126,0.026,0.408,0.023,0.041
4,6,11,1,0.03,0.049,0.118,0.083,0.0,0.023,0.58,0.081,0.037
5,0,11,1,0.434,0.073,0.044,0.102,0.182,0.0,0.09,0.019,0.055
6,0,11,2,0.334,0.056,0.02,0.311,0.138,0.043,0.0,0.009,0.09
7,4,11,1,0.039,0.023,0.02,0.235,0.481,0.043,0.049,0.0,0.111
8,4,11,1,0.064,0.015,0.077,0.152,0.422,0.054,0.16,0.056,0.0
1,4,12,2,0.043,0.0,0.107,0.141,0.239,0.069,0.16,0.089,0.153
2,4,12,2,0.041,0.042,0.0,0.182,0.388,0.059,0.05,0.1,0.138
3,4,12,1,0.023,0.014,0.239,0.0,0.282,0.071,0.213,0.056,0.101
4,6,12,1,0.033,0.046,0.104,0.087,0.0,0.02,0.5529999999999999,0.113,0.044
5,4,12,1,0.096,0.069,0.079,0.215,0.319,0.0,0.132,0.04,0.051
6,3,12,2,0.17,0.076,0.024,0.389,0.1669999999999999,0.05,0.0,0.014,0.109
7,4,12,1,0.031,0.026,0.019,0.254,0.483,0.03,0.054,0.0,0.103
8,4,12,1,0.089,0.019,0.04,0.077,0.601,0.053,0.087,0.034,0.0
1,0,13,2,0.22,0.0,0.135,0.121,0.183,0.044,0.145,0.073,0.079
2,4,13,2,0.041,0.031,0.0,0.19,0.358,0.049,0.083,0.106,0.142
3,4,13,1,0.039,0.021,0.218,0.0,0.285,0.073,0.196,0.057,0.111
4,6,13,1,0.019,0.043,0.091,0.079,0.0,0.014,0.6829999999999999,0.031,0.04
5,6,13,1,0.071,0.066,0.104,0.198,0.242,0.0,0.249,0.03,0.041
6,3,13,2,0.249,0.083,0.023,0.331,0.15,0.05,0.0,0.014,0.101
7,4,13,1,0.036,0.017,0.022,0.264,0.438,0.02,0.053,0.0,0.15
8,4,13,1,0.014,0.014,0.034,0.053,0.7290000000000001,0.057,0.07,0.029,0.0
1,0,14,2,0.387,0.0,0.031,0.086,0.21,0.051,0.0819999999999999,0.079,0.074
2,7,14,2,0.02,0.043,0.0,0.108,0.177,0.036,0.044,0.464,0.108
3,4,14,1,0.073,0.09,0.055,0.0,0.41,0.076,0.088,0.054,0.154
4,6,14,1,0.014,0.043,0.093,0.086,0.0,0.014,0.6779999999999999,0.014,0.057
5,4,14,1,0.086,0.054,0.076,0.227,0.334,0.0,0.116,0.043,0.063
6,3,14,2,0.241,0.133,0.021,0.283,0.17,0.049,0.0,0.014,0.088
7,4,14,1,0.054,0.017,0.019,0.197,0.3670000000000001,0.01,0.056,0.0,0.281
8,4,14,1,0.003,0.014,0.041,0.062,0.7440000000000001,0.05,0.058,0.029,0.0
