user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8
1,8,0,1,0.02,0.0,0.003,0.029,0.06,0.098,0.053,0.031,0.506
2,0,0,2,0.193,0.143,0.0,0.114,0.118,0.07,0.054,0.053,0.056
3,5,0,1,0.136,0.084,0.093,0.0,0.133,0.18,0.081,0.034,0.06
4,5,0,2,0.034,0.09,0.01,0.066,0.0,0.423,0.081,0.067,0.029
5,0,0,1,0.364,0.081,0.097,0.081,0.047,0.0,0.037,0.051,0.04
6,8,0,1,0.041,0.031,0.074,0.03,0.086,0.114,0.0,0.02,0.403
7,0,0,2,0.456,0.04,0.093,0.009,0.059,0.073,0.016,0.0,0.056
8,3,0,1,0.014,0.061,0.116,0.344,0.1369999999999999,0.066,0.041,0.02,0.0
1,2,1,1,0.066,0.0,0.287,0.093,0.108,0.15,0.084,0.033,0.179
2,0,1,2,0.317,0.233,0.0,0.11,0.119,0.071,0.051,0.054,0.046
3,7,1,1,0.08,0.064,0.073,0.0,0.066,0.185,0.131,0.364,0.036
4,5,1,2,0.054,0.141,0.024,0.1,0.0,0.379,0.1369999999999999,0.103,0.061
5,0,1,1,0.309,0.106,0.23,0.096,0.061,0.0,0.056,0.08,0.063
6,8,1,1,0.03,0.029,0.071,0.03,0.059,0.107,0.0,0.014,0.66
7,8,1,2,0.15,0.077,0.06,0.02,0.096,0.104,0.023,0.0,0.47
8,3,1,1,0.029,0.08,0.08,0.467,0.179,0.103,0.041,0.021,0.0
1,2,2,1,0.163,0.0,0.173,0.14,0.127,0.144,0.12,0.043,0.09
2,0,2,2,0.411,0.089,0.0,0.114,0.128,0.097,0.052,0.049,0.06
3,7,2,1,0.0,0.026,0.026,0.0,0.031,0.087,0.113,0.695,0.021
4,5,2,2,0.057,0.183,0.043,0.093,0.0,0.283,0.17,0.102,0.069
5,2,2,1,0.191,0.067,0.514,0.083,0.031,0.0,0.019,0.06,0.034
6,2,2,1,0.056,0.049,0.35,0.034,0.114,0.156,0.0,0.036,0.206
7,8,2,2,0.019,0.077,0.016,0.014,0.094,0.076,0.004,0.0,0.7
8,3,2,1,0.02,0.067,0.227,0.38,0.146,0.107,0.04,0.013,0.0
1,2,3,1,0.077,0.0,0.547,0.123,0.064,0.076,0.033,0.014,0.066
2,6,3,2,0.136,0.15,0.0,0.077,0.136,0.141,0.252,0.075,0.033
3,7,3,1,0.0,0.023,0.054,0.0,0.017,0.077,0.105,0.696,0.027
4,5,3,2,0.033,0.119,0.143,0.059,0.0,0.357,0.126,0.108,0.056
5,0,3,1,0.536,0.103,0.14,0.066,0.044,0.0,0.021,0.055,0.036
6,2,3,1,0.0,0.03,0.809,0.037,0.034,0.051,0.0,0.03,0.009
7,2,3,2,0.129,0.053,0.399,0.049,0.083,0.135,0.017,0.0,0.1369999999999999
8,4,3,1,0.001,0.051,0.186,0.051,0.369,0.245,0.083,0.013,0.0
1,2,4,1,0.076,0.0,0.551,0.119,0.063,0.073,0.036,0.014,0.069
2,6,4,2,0.04,0.054,0.0,0.066,0.136,0.113,0.484,0.069,0.039
3,7,4,1,0.036,0.037,0.05,0.0,0.058,0.152,0.163,0.477,0.027
4,6,4,2,0.019,0.096,0.0,0.029,0.0,0.081,0.581,0.129,0.066
5,0,4,1,0.629,0.091,0.084,0.064,0.043,0.0,0.025,0.049,0.014
6,8,4,1,0.039,0.033,0.186,0.036,0.0819999999999999,0.161,0.0,0.02,0.444
7,2,4,2,0.036,0.05,0.474,0.071,0.116,0.152,0.051,0.0,0.049
8,5,4,1,0.0069999999999999,0.061,0.047,0.074,0.312,0.359,0.114,0.024,0.0
1,2,5,1,0.091,0.0,0.5589999999999999,0.094,0.057,0.086,0.029,0.014,0.07
2,8,5,2,0.111,0.084,0.0,0.036,0.122,0.073,0.063,0.045,0.464
3,0,5,1,0.509,0.093,0.061,0.0,0.049,0.144,0.109,0.017,0.019
4,6,5,2,0.019,0.109,0.0,0.02,0.0,0.047,0.614,0.115,0.077
5,0,5,1,0.601,0.093,0.094,0.074,0.043,0.0,0.024,0.05,0.02
6,8,5,1,0.067,0.039,0.081,0.039,0.125,0.155,0.0,0.031,0.463
7,0,5,2,0.214,0.083,0.096,0.05,0.1669999999999999,0.194,0.139,0.0,0.057
8,3,5,1,0.02,0.047,0.013,0.51,0.234,0.117,0.051,0.008,0.0
1,2,6,1,0.077,0.0,0.561,0.109,0.056,0.086,0.029,0.014,0.069
2,8,6,2,0.141,0.123,0.0,0.109,0.166,0.141,0.084,0.064,0.171
3,8,6,1,0.124,0.06,0.059,0.0,0.085,0.155,0.107,0.024,0.386
4,5,6,2,0.0069999999999999,0.061,0.001,0.019,0.0,0.473,0.256,0.121,0.061
5,0,6,1,0.509,0.11,0.113,0.087,0.047,0.0,0.037,0.063,0.034
6,5,6,1,0.174,0.076,0.1369999999999999,0.064,0.197,0.24,0.0,0.051,0.06
7,5,6,2,0.214,0.08,0.087,0.049,0.219,0.228,0.06,0.0,0.063
8,3,6,1,0.017,0.05,0.084,0.407,0.218,0.149,0.063,0.011,0.0
1,2,7,1,0.079,0.0,0.45,0.1,0.08,0.121,0.053,0.042,0.074
2,1,7,2,0.06,0.31,0.0,0.13,0.159,0.156,0.067,0.056,0.063
3,8,7,1,0.014,0.03,0.043,0.0,0.101,0.127,0.086,0.014,0.586
4,5,7,2,0.011,0.084,0.009,0.043,0.0,0.361,0.255,0.16,0.077
5,0,7,1,0.604,0.096,0.093,0.069,0.044,0.0,0.024,0.05,0.02
6,0,7,1,0.23,0.076,0.113,0.073,0.19,0.22,0.0,0.039,0.06
7,5,7,2,0.057,0.143,0.129,0.084,0.211,0.233,0.086,0.0,0.057
8,3,7,1,0.021,0.053,0.003,0.556,0.209,0.111,0.046,0.001,0.0
1,2,8,1,0.13,0.0,0.311,0.129,0.099,0.107,0.093,0.044,0.087
2,6,8,2,0.067,0.036,0.0,0.067,0.162,0.121,0.401,0.083,0.063
3,8,8,1,0.014,0.029,0.043,0.0,0.101,0.1369999999999999,0.086,0.014,0.5770000000000001
4,6,8,2,0.023,0.129,0.036,0.053,0.0,0.17,0.271,0.199,0.12
5,0,8,1,0.539,0.104,0.104,0.08,0.047,0.0,0.035,0.058,0.033
6,5,8,1,0.184,0.064,0.113,0.059,0.18,0.306,0.0,0.044,0.05
7,2,8,2,0.097,0.064,0.244,0.053,0.1669999999999999,0.224,0.044,0.0,0.106
8,3,8,1,0.027,0.057,0.014,0.604,0.15,0.105,0.043,0.0,0.0
1,2,9,1,0.089,0.0,0.313,0.116,0.118,0.14,0.093,0.037,0.096
2,6,9,2,0.1639999999999999,0.113,0.0,0.091,0.122,0.128,0.229,0.105,0.047
3,8,9,1,0.031,0.077,0.053,0.0,0.101,0.224,0.113,0.033,0.3670000000000001
4,5,9,2,0.02,0.09,0.019,0.034,0.0,0.316,0.243,0.173,0.106
5,2,9,1,0.244,0.089,0.361,0.093,0.041,0.0,0.04,0.084,0.047
6,5,9,1,0.21,0.07,0.126,0.073,0.2,0.22,0.0,0.039,0.063
7,2,9,2,0.023,0.171,0.493,0.076,0.078,0.089,0.027,0.0,0.043
8,3,9,1,0.014,0.049,0.066,0.431,0.227,0.153,0.053,0.0069999999999999,0.0
1,2,10,1,0.091,0.0,0.504,0.107,0.064,0.077,0.044,0.041,0.07
2,1,10,2,0.053,0.277,0.0,0.054,0.112,0.096,0.237,0.14,0.03
3,5,10,1,0.066,0.1,0.087,0.0,0.112,0.329,0.15,0.127,0.029
4,5,10,2,0.046,0.15,0.196,0.103,0.0,0.237,0.138,0.09,0.04
5,0,10,1,0.5870000000000001,0.089,0.097,0.074,0.043,0.0,0.032,0.055,0.023
6,5,10,1,0.136,0.063,0.133,0.057,0.224,0.267,0.0,0.039,0.081
7,2,10,2,0.031,0.073,0.62,0.064,0.05,0.086,0.017,0.0,0.059
8,3,10,1,0.014,0.049,0.016,0.466,0.228,0.158,0.059,0.011,0.0
1,2,11,1,0.086,0.0,0.521,0.111,0.077,0.08,0.037,0.016,0.071
2,1,11,2,0.076,0.523,0.0,0.073,0.116,0.122,0.044,0.026,0.02
3,5,11,1,0.059,0.104,0.086,0.0,0.114,0.348,0.149,0.111,0.029
4,2,11,2,0.001,0.084,0.7140000000000001,0.113,0.0,0.004,0.053,0.029,0.001
5,0,11,1,0.444,0.097,0.199,0.081,0.034,0.0,0.046,0.065,0.033
6,5,11,1,0.159,0.084,0.131,0.076,0.196,0.239,0.0,0.05,0.066
7,8,11,2,0.021,0.093,0.029,0.016,0.114,0.09,0.009,0.0,0.629
8,4,11,1,0.02,0.043,0.016,0.211,0.448,0.1639999999999999,0.068,0.029,0.0
1,2,12,1,0.264,0.0,0.384,0.084,0.052,0.098,0.039,0.026,0.053
2,7,12,2,0.136,0.13,0.0,0.101,0.131,0.129,0.091,0.213,0.069
3,5,12,1,0.06,0.096,0.084,0.0,0.115,0.341,0.155,0.13,0.019
4,2,12,2,0.016,0.083,0.713,0.106,0.0,0.014,0.039,0.03,0.0
5,0,12,1,0.631,0.084,0.086,0.07,0.043,0.0,0.022,0.05,0.014
6,5,12,1,0.201,0.073,0.133,0.069,0.179,0.237,0.0,0.049,0.06
7,8,12,2,0.02,0.089,0.027,0.016,0.12,0.088,0.006,0.0,0.634
8,4,12,1,0.017,0.033,0.006,0.26,0.439,0.161,0.062,0.023,0.0
1,0,13,1,0.623,0.0,0.049,0.08,0.064,0.065,0.061,0.029,0.03
2,0,13,2,0.483,0.051,0.0,0.064,0.097,0.076,0.047,0.141,0.04
3,8,13,1,0.019,0.051,0.061,0.0,0.096,0.209,0.106,0.1369999999999999,0.321
4,2,13,2,0.009,0.086,0.7140000000000001,0.11,0.0,0.014,0.037,0.03,0.0
5,0,13,1,0.523,0.099,0.106,0.086,0.049,0.0,0.038,0.065,0.036
6,5,13,1,0.141,0.079,0.156,0.073,0.201,0.242,0.0,0.043,0.066
7,8,13,2,0.019,0.073,0.021,0.004,0.113,0.069,0.001,0.0,0.7
8,4,13,1,0.019,0.044,0.006,0.25,0.395,0.183,0.079,0.025,0.0
1,2,14,1,0.13,0.0,0.396,0.107,0.073,0.113,0.063,0.052,0.067
2,0,14,2,0.45,0.153,0.0,0.071,0.11,0.08,0.033,0.062,0.041
3,5,14,1,0.014,0.079,0.07,0.0,0.119,0.302,0.105,0.041,0.27
4,2,14,2,0.016,0.089,0.7090000000000001,0.11,0.0,0.014,0.031,0.029,0.003
5,0,14,1,0.511,0.12,0.109,0.091,0.043,0.0,0.036,0.051,0.039
6,5,14,1,0.113,0.081,0.194,0.056,0.185,0.251,0.0,0.061,0.059
7,8,14,2,0.026,0.081,0.024,0.004,0.089,0.071,0.004,0.0,0.7
8,3,14,1,0.013,0.031,0.001,0.389,0.387,0.116,0.051,0.012,0.0
1,2,15,1,0.193,0.0,0.403,0.109,0.092,0.072,0.058,0.023,0.05
2,0,15,2,0.24,0.239,0.0,0.097,0.113,0.133,0.062,0.072,0.044
3,5,15,1,0.0069999999999999,0.067,0.04,0.0,0.122,0.352,0.083,0.028,0.3
4,0,15,2,0.291,0.16,0.246,0.084,0.0,0.106,0.044,0.045,0.024
5,0,15,1,0.4270000000000001,0.117,0.207,0.081,0.039,0.0,0.036,0.057,0.036
6,2,15,1,0.093,0.059,0.293,0.039,0.131,0.152,0.0,0.03,0.204
7,8,15,2,0.026,0.086,0.021,0.0,0.084,0.069,0.014,0.0,0.7
8,4,15,1,0.026,0.04,0.01,0.316,0.384,0.152,0.054,0.019,0.0
1,2,16,1,0.116,0.0,0.301,0.104,0.123,0.128,0.0819999999999999,0.038,0.107
2,5,16,2,0.033,0.03,0.0,0.039,0.103,0.398,0.042,0.044,0.311
3,8,16,1,0.003,0.05,0.087,0.0,0.112,0.286,0.066,0.021,0.374
4,1,16,2,0.033,0.456,0.127,0.13,0.0,0.053,0.07,0.068,0.063
5,0,16,1,0.344,0.074,0.321,0.089,0.037,0.0,0.029,0.057,0.049
6,2,16,1,0.003,0.041,0.7659999999999999,0.014,0.056,0.046,0.0,0.026,0.047
7,8,16,2,0.016,0.083,0.034,0.0,0.106,0.073,0.0,0.0,0.6890000000000001
8,2,16,1,0.009,0.056,0.443,0.123,0.176,0.109,0.061,0.024,0.0
1,2,17,1,0.09,0.0,0.38,0.114,0.115,0.133,0.069,0.033,0.066
2,5,17,2,0.0,0.014,0.0,0.043,0.115,0.664,0.053,0.04,0.071
3,7,17,1,0.003,0.049,0.034,0.0,0.066,0.158,0.076,0.457,0.157
4,1,17,2,0.043,0.477,0.079,0.133,0.0,0.061,0.09,0.075,0.043
5,0,17,1,0.416,0.134,0.127,0.097,0.051,0.0,0.052,0.065,0.057
6,2,17,1,0.0,0.039,0.7759999999999999,0.017,0.051,0.04,0.0,0.024,0.053
7,8,17,2,0.023,0.074,0.081,0.016,0.098,0.069,0.004,0.0,0.634
8,3,17,1,0.031,0.056,0.041,0.583,0.13,0.131,0.027,0.0,0.0
