user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8
1,8,0,1,0.03,0.0,0.0,0.024,0.087,0.126,0.03,0.052,0.452
2,7,0,1,0.003,0.023,0.0,0.043,0.064,0.061,0.062,0.502,0.042
3,7,0,2,0.043,0.014,0.077,0.0,0.071,0.06,0.128,0.228,0.179
4,6,0,2,0.08,0.144,0.111,0.101,0.0,0.07,0.156,0.101,0.036
5,0,0,2,0.424,0.053,0.027,0.031,0.077,0.0,0.029,0.108,0.05
6,7,0,1,0.01,0.117,0.026,0.02,0.054,0.009,0.0,0.504,0.06
7,4,0,1,0.011,0.057,0.033,0.05,0.424,0.037,0.074,0.0,0.113
8,0,0,1,0.539,0.043,0.019,0.02,0.043,0.066,0.018,0.053,0.0
1,5,1,1,0.049,0.0,0.063,0.029,0.156,0.429,0.05,0.077,0.148
2,7,1,1,0.0,0.024,0.0,0.076,0.32,0.089,0.032,0.417,0.043
3,8,1,2,0.057,0.023,0.107,0.0,0.127,0.063,0.225,0.09,0.308
4,1,1,2,0.087,0.18,0.134,0.141,0.0,0.11,0.159,0.132,0.056
5,4,1,2,0.056,0.196,0.054,0.044,0.328,0.0,0.055,0.1669999999999999,0.099
6,3,1,1,0.0069999999999999,0.059,0.069,0.327,0.209,0.139,0.0,0.12,0.071
7,4,1,1,0.01,0.037,0.034,0.047,0.531,0.04,0.201,0.0,0.099
8,0,1,1,0.643,0.033,0.02,0.04,0.1369999999999999,0.061,0.023,0.043,0.0
1,5,2,1,0.04,0.0,0.063,0.029,0.159,0.443,0.053,0.077,0.136
2,4,2,1,0.0,0.027,0.0,0.104,0.523,0.09,0.039,0.193,0.024
3,8,2,2,0.131,0.039,0.101,0.0,0.181,0.079,0.199,0.063,0.207
4,6,2,2,0.104,0.1669999999999999,0.1369999999999999,0.1369999999999999,0.0,0.091,0.195,0.122,0.046
5,4,2,2,0.047,0.043,0.043,0.119,0.363,0.0,0.202,0.031,0.152
6,4,2,1,0.004,0.046,0.047,0.34,0.378,0.083,0.0,0.044,0.058
7,4,2,1,0.004,0.016,0.031,0.044,0.6509999999999999,0.026,0.154,0.0,0.073
8,0,2,1,0.589,0.013,0.014,0.027,0.254,0.054,0.023,0.026,0.0
1,7,3,1,0.027,0.0,0.049,0.026,0.112,0.31,0.043,0.348,0.085
2,4,3,1,0.0,0.029,0.0,0.124,0.6659999999999999,0.11,0.023,0.043,0.006
3,8,3,2,0.066,0.037,0.099,0.0,0.134,0.073,0.214,0.03,0.348
4,6,3,2,0.091,0.16,0.186,0.136,0.0,0.081,0.195,0.106,0.044
5,4,3,2,0.06,0.064,0.049,0.16,0.278,0.0,0.173,0.019,0.198
6,3,3,1,0.0,0.053,0.067,0.631,0.128,0.001,0.0,0.057,0.062
7,4,3,1,0.009,0.031,0.031,0.053,0.531,0.031,0.243,0.0,0.07
8,0,3,1,0.5660000000000001,0.026,0.034,0.026,0.194,0.099,0.025,0.031,0.0
1,7,4,1,0.03,0.0,0.014,0.011,0.106,0.076,0.046,0.649,0.067
2,4,4,1,0.001,0.029,0.0,0.127,0.632,0.12,0.021,0.039,0.031
3,1,4,2,0.071,0.233,0.106,0.0,0.138,0.054,0.147,0.081,0.17
4,2,4,2,0.083,0.147,0.371,0.077,0.0,0.073,0.097,0.106,0.046
5,4,4,2,0.053,0.057,0.059,0.147,0.341,0.0,0.123,0.017,0.203
6,3,4,1,0.0,0.046,0.06,0.633,0.132,0.0,0.0,0.06,0.069
7,4,4,1,0.009,0.037,0.034,0.06,0.5529999999999999,0.041,0.166,0.0,0.1
8,0,4,1,0.657,0.03,0.021,0.029,0.143,0.07,0.023,0.027,0.0
1,8,5,1,0.054,0.0,0.031,0.039,0.17,0.174,0.065,0.23,0.237
2,4,5,1,0.004,0.029,0.0,0.147,0.486,0.159,0.033,0.038,0.104
3,1,5,2,0.144,0.396,0.071,0.0,0.095,0.036,0.119,0.084,0.055
4,6,5,2,0.083,0.166,0.14,0.109,0.0,0.079,0.252,0.123,0.049
5,8,5,2,0.039,0.039,0.024,0.074,0.215,0.0,0.1689999999999999,0.204,0.236
6,3,5,1,0.0,0.056,0.069,0.6509999999999999,0.112,0.001,0.0,0.056,0.055
7,6,5,1,0.029,0.024,0.034,0.039,0.324,0.039,0.45,0.0,0.061
8,0,5,1,0.684,0.014,0.026,0.017,0.109,0.081,0.023,0.046,0.0
1,8,6,1,0.039,0.0,0.017,0.037,0.141,0.18,0.052,0.108,0.4270000000000001
2,4,6,1,0.0,0.029,0.0,0.1369999999999999,0.5489999999999999,0.171,0.021,0.069,0.024
3,7,6,2,0.073,0.016,0.061,0.0,0.108,0.046,0.13,0.529,0.038
4,7,6,2,0.023,0.044,0.06,0.106,0.0,0.074,0.085,0.555,0.053
5,7,6,2,0.016,0.057,0.013,0.046,0.062,0.0,0.206,0.461,0.139
