user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7
1,6,0,1,0.114,0.0,0.046,0.101,0.107,0.076,0.295,0.061
2,1,0,1,0.013,0.361,0.0,0.074,0.051,0.049,0.25,0.102
3,5,0,2,0.071,0.101,0.136,0.0,0.132,0.211,0.11,0.039
4,6,0,1,0.061,0.121,0.091,0.0819999999999999,0.0,0.054,0.296,0.094
5,1,0,2,0.0,0.38,0.014,0.06,0.28,0.0,0.044,0.021
6,4,0,1,0.057,0.046,0.034,0.046,0.405,0.155,0.0,0.057
7,4,0,2,0.011,0.057,0.037,0.076,0.443,0.133,0.043,0.0
1,6,1,1,0.206,0.0,0.064,0.121,0.147,0.104,0.278,0.079
2,0,1,1,0.48,0.091,0.0,0.122,0.124,0.027,0.064,0.091
3,4,1,2,0.109,0.087,0.104,0.0,0.295,0.181,0.151,0.073
4,6,1,1,0.083,0.079,0.07,0.244,0.0,0.079,0.306,0.14
5,1,1,2,0.006,0.49,0.029,0.085,0.303,0.0,0.064,0.025
6,4,1,1,0.073,0.057,0.043,0.057,0.509,0.189,0.0,0.071
7,4,1,2,0.017,0.069,0.046,0.211,0.457,0.153,0.047,0.0
1,6,2,1,0.1669999999999999,0.0,0.067,0.146,0.099,0.107,0.318,0.096
2,0,2,1,0.573,0.061,0.0,0.136,0.081,0.014,0.042,0.092
3,4,2,2,0.077,0.136,0.15,0.0,0.211,0.208,0.154,0.064
4,3,2,1,0.077,0.079,0.063,0.319,0.0,0.074,0.267,0.121
5,1,2,2,0.023,0.557,0.049,0.103,0.153,0.0,0.09,0.025
6,4,2,1,0.071,0.057,0.043,0.057,0.507,0.193,0.0,0.071
7,4,2,2,0.044,0.086,0.063,0.127,0.429,0.216,0.034,0.0
1,6,3,1,0.177,0.0,0.076,0.156,0.089,0.101,0.31,0.091
2,0,3,1,0.586,0.059,0.0,0.133,0.071,0.017,0.047,0.088
3,5,3,2,0.057,0.15,0.176,0.0,0.178,0.202,0.178,0.059
4,6,3,1,0.053,0.053,0.077,0.1,0.0,0.073,0.481,0.1639999999999999
5,1,3,2,0.029,0.593,0.06,0.12,0.066,0.0,0.104,0.029
6,4,3,1,0.076,0.051,0.22,0.086,0.315,0.178,0.0,0.074
7,4,3,2,0.056,0.226,0.069,0.133,0.293,0.175,0.05,0.0
1,6,4,1,0.076,0.0,0.106,0.146,0.144,0.212,0.26,0.057
2,0,4,1,0.6,0.049,0.0,0.154,0.059,0.029,0.051,0.059
3,1,4,2,0.036,0.32,0.25,0.0,0.097,0.128,0.131,0.037
4,6,4,1,0.071,0.059,0.084,0.13,0.0,0.081,0.412,0.162
5,1,4,2,0.029,0.594,0.061,0.122,0.057,0.0,0.108,0.029
6,5,4,1,0.101,0.084,0.223,0.127,0.155,0.231,0.0,0.079
7,0,4,2,0.44,0.111,0.033,0.093,0.111,0.131,0.08,0.0
1,5,5,1,0.076,0.0,0.056,0.091,0.172,0.505,0.071,0.029
2,0,5,1,0.377,0.081,0.0,0.212,0.06,0.062,0.119,0.089
3,2,5,2,0.034,0.179,0.309,0.0,0.104,0.196,0.139,0.04
4,6,5,1,0.061,0.07,0.064,0.218,0.0,0.07,0.3720000000000001,0.144
5,1,5,2,0.029,0.597,0.061,0.12,0.059,0.0,0.105,0.029
6,2,5,1,0.071,0.047,0.486,0.094,0.101,0.136,0.0,0.064
7,1,5,2,0.2,0.22,0.091,0.131,0.1369999999999999,0.1369999999999999,0.083,0.0
1,5,6,1,0.163,0.0,0.071,0.114,0.163,0.347,0.097,0.045
2,6,6,1,0.029,0.06,0.0,0.109,0.019,0.054,0.598,0.132
3,5,6,2,0.146,0.12,0.131,0.0,0.142,0.262,0.146,0.052
4,6,6,1,0.097,0.064,0.104,0.141,0.0,0.09,0.378,0.126
5,1,6,2,0.029,0.597,0.057,0.12,0.057,0.0,0.112,0.027
6,0,6,1,0.303,0.061,0.073,0.139,0.148,0.182,0.0,0.094
7,1,6,2,0.07,0.557,0.044,0.067,0.057,0.051,0.153,0.0
1,5,7,1,0.051,0.0,0.119,0.11,0.285,0.36,0.059,0.017
2,5,7,1,0.03,0.077,0.0,0.153,0.134,0.403,0.125,0.077
3,5,7,2,0.126,0.134,0.12,0.0,0.151,0.273,0.148,0.048
4,6,7,1,0.1639999999999999,0.054,0.063,0.19,0.0,0.09,0.349,0.09
5,1,7,2,0.029,0.599,0.064,0.118,0.059,0.0,0.104,0.029
6,4,7,1,0.07,0.081,0.029,0.056,0.486,0.206,0.0,0.073
7,1,7,2,0.11,0.467,0.067,0.09,0.093,0.097,0.076,0.0
1,2,8,1,0.057,0.0,0.4970000000000001,0.123,0.097,0.09,0.105,0.03
2,0,8,1,0.431,0.057,0.0,0.149,0.097,0.157,0.061,0.047
3,5,8,2,0.069,0.11,0.136,0.0,0.153,0.349,0.136,0.047
4,6,8,1,0.054,0.051,0.056,0.187,0.0,0.05,0.464,0.138
5,1,8,2,0.043,0.501,0.076,0.138,0.08,0.0,0.127,0.035
6,4,8,1,0.084,0.066,0.146,0.113,0.315,0.198,0.0,0.079
7,0,8,2,0.363,0.281,0.036,0.079,0.094,0.089,0.059,0.0
1,2,9,1,0.189,0.0,0.239,0.121,0.097,0.089,0.186,0.079
2,0,9,1,0.6,0.05,0.0,0.134,0.067,0.064,0.042,0.042
3,5,9,2,0.071,0.109,0.134,0.0,0.177,0.318,0.136,0.054
4,3,9,1,0.09,0.069,0.019,0.53,0.0,0.067,0.139,0.086
5,1,9,2,0.029,0.59,0.067,0.127,0.061,0.0,0.098,0.028
6,2,9,1,0.071,0.031,0.493,0.104,0.105,0.144,0.0,0.051
7,1,9,2,0.057,0.5770000000000001,0.084,0.091,0.104,0.031,0.054,0.0
1,2,10,1,0.193,0.0,0.219,0.166,0.119,0.091,0.1689999999999999,0.044
2,0,10,1,0.6,0.031,0.0,0.133,0.07,0.071,0.055,0.038
3,4,10,2,0.076,0.053,0.111,0.0,0.467,0.106,0.13,0.057
4,6,10,1,0.056,0.049,0.064,0.092,0.0,0.051,0.54,0.148
5,1,10,2,0.066,0.33,0.11,0.173,0.127,0.0,0.148,0.046
6,2,10,1,0.093,0.05,0.359,0.123,0.129,0.174,0.0,0.073
7,1,10,2,0.07,0.5760000000000001,0.059,0.099,0.102,0.035,0.06,0.0
1,6,11,1,0.224,0.0,0.097,0.143,0.086,0.094,0.286,0.07
2,0,11,1,0.237,0.077,0.0,0.213,0.084,0.203,0.127,0.058
3,4,11,2,0.071,0.067,0.111,0.0,0.499,0.09,0.12,0.041
4,6,11,1,0.057,0.047,0.07,0.091,0.0,0.047,0.55,0.138
5,3,11,2,0.099,0.183,0.15,0.193,0.149,0.0,0.176,0.05
6,5,11,1,0.12,0.071,0.123,0.144,0.17,0.272,0.0,0.1
7,1,11,2,0.086,0.586,0.044,0.086,0.109,0.034,0.056,0.0
1,0,12,1,0.391,0.0,0.08,0.133,0.078,0.06,0.183,0.074
2,0,12,1,0.339,0.056,0.0,0.224,0.073,0.158,0.096,0.054
3,5,12,2,0.066,0.09,0.099,0.0,0.238,0.364,0.1,0.044
4,1,12,1,0.04,0.337,0.071,0.0819999999999999,0.0,0.107,0.267,0.095
5,1,12,2,0.064,0.469,0.083,0.13,0.08,0.0,0.136,0.038
6,2,12,1,0.061,0.03,0.531,0.094,0.1,0.14,0.0,0.043
7,1,12,2,0.084,0.593,0.05,0.086,0.1,0.036,0.051,0.0
1,0,13,1,0.346,0.0,0.083,0.139,0.087,0.075,0.193,0.077
2,0,13,1,0.597,0.03,0.0,0.147,0.056,0.071,0.057,0.042
3,5,13,2,0.071,0.21,0.113,0.0,0.172,0.249,0.126,0.059
4,1,13,1,0.054,0.321,0.103,0.152,0.0,0.053,0.219,0.098
5,3,13,2,0.053,0.25,0.093,0.284,0.174,0.0,0.112,0.034
6,2,13,1,0.069,0.05,0.523,0.084,0.099,0.133,0.0,0.043
7,1,13,2,0.084,0.479,0.07,0.104,0.121,0.085,0.057,0.0
1,0,14,1,0.3,0.0,0.089,0.136,0.084,0.083,0.223,0.086
2,0,14,1,0.511,0.04,0.0,0.146,0.072,0.121,0.061,0.049
3,7,14,2,0.047,0.197,0.104,0.0,0.142,0.121,0.125,0.264
4,2,14,1,0.041,0.057,0.429,0.135,0.0,0.037,0.217,0.084
5,3,14,2,0.053,0.03,0.064,0.6,0.123,0.0,0.098,0.032
6,2,14,1,0.073,0.027,0.529,0.101,0.099,0.129,0.0,0.043
7,0,14,2,0.436,0.129,0.05,0.093,0.121,0.112,0.06,0.0
1,0,15,1,0.331,0.0,0.087,0.1369999999999999,0.117,0.147,0.126,0.054
2,5,15,1,0.014,0.057,0.0,0.09,0.158,0.595,0.043,0.043
3,4,15,2,0.034,0.266,0.106,0.0,0.33,0.134,0.097,0.033
4,1,15,1,0.049,0.297,0.11,0.088,0.0,0.076,0.264,0.117
5,3,15,2,0.1,0.119,0.146,0.21,0.151,0.0,0.193,0.081
6,4,15,1,0.141,0.07,0.111,0.119,0.278,0.185,0.0,0.096
7,0,15,2,0.627,0.063,0.024,0.056,0.079,0.12,0.031,0.0
1,5,16,1,0.109,0.0,0.076,0.111,0.184,0.43,0.058,0.032
2,0,16,1,0.56,0.05,0.0,0.157,0.064,0.068,0.056,0.045
3,2,16,2,0.057,0.126,0.261,0.0,0.126,0.231,0.143,0.056
4,6,16,1,0.087,0.071,0.064,0.247,0.0,0.059,0.363,0.109
5,3,16,2,0.123,0.111,0.153,0.189,0.1689999999999999,0.0,0.177,0.078
6,4,16,1,0.176,0.051,0.031,0.074,0.429,0.17,0.0,0.069
7,0,16,2,0.62,0.071,0.019,0.047,0.077,0.1369999999999999,0.029,0.0
1,5,17,1,0.146,0.0,0.059,0.101,0.161,0.439,0.062,0.032
2,0,17,1,0.601,0.027,0.0,0.143,0.056,0.084,0.046,0.043
3,4,17,2,0.119,0.069,0.101,0.0,0.419,0.122,0.125,0.045
4,3,17,1,0.077,0.061,0.071,0.46,0.0,0.04,0.136,0.154
5,1,17,2,0.077,0.389,0.093,0.149,0.107,0.0,0.144,0.041
6,0,17,1,0.5,0.02,0.027,0.081,0.211,0.098,0.0,0.063
7,0,17,2,0.616,0.07,0.024,0.056,0.079,0.127,0.029,0.0
1,0,18,1,0.49,0.0,0.086,0.121,0.087,0.07,0.103,0.042
2,0,18,1,0.6,0.029,0.0,0.143,0.054,0.086,0.045,0.044
3,4,18,2,0.194,0.047,0.1,0.0,0.475,0.042,0.103,0.038
