user_id,item_id,timestamp,state_label,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5
1,5,0,1,0.313,0.0,0.044,0.049,0.051,0.343
2,1,0,2,0.016,0.652,0.0,0.073,0.019,0.041
3,4,0,2,0.0,0.1639999999999999,0.071,0.0,0.5329999999999999,0.031
4,1,0,1,0.0,0.638,0.019,0.115,0.0,0.029
5,1,0,1,0.0,0.7190000000000001,0.003,0.053,0.026,0.0
1,5,1,1,0.127,0.0,0.043,0.033,0.057,0.74
2,5,1,2,0.019,0.223,0.0,0.07,0.034,0.654
3,4,1,2,0.001,0.173,0.084,0.0,0.5329999999999999,0.209
4,5,1,1,0.0,0.37,0.103,0.06,0.0,0.467
5,1,1,1,0.0,0.888,0.0,0.071,0.041,0.0
1,5,2,1,0.403,0.0,0.06,0.057,0.066,0.414
2,5,2,2,0.024,0.25,0.0,0.071,0.014,0.64
3,1,2,2,0.001,0.899,0.011,0.0,0.02,0.069
4,1,2,1,0.0,0.8,0.031,0.016,0.0,0.153
5,1,2,1,0.0,0.951,0.0,0.03,0.019,0.0
1,5,3,1,0.351,0.0,0.053,0.057,0.063,0.476
2,5,3,2,0.027,0.254,0.0,0.07,0.014,0.634
3,1,3,2,0.004,0.883,0.009,0.0,0.033,0.071
4,1,3,1,0.0,0.826,0.014,0.01,0.0,0.15
5,1,3,1,0.0,0.975,0.001,0.019,0.004,0.0
1,5,4,1,0.139,0.0,0.043,0.039,0.057,0.723
2,5,4,2,0.014,0.263,0.0,0.051,0.027,0.644
3,4,4,2,0.009,0.224,0.079,0.0,0.471,0.217
4,1,4,1,0.0,0.589,0.054,0.005,0.0,0.351
5,1,4,1,0.0,0.889,0.004,0.071,0.036,0.0
1,0,5,1,0.534,0.0,0.069,0.064,0.07,0.263
2,1,5,2,0.013,0.551,0.0,0.066,0.016,0.354
3,1,5,2,0.016,0.617,0.07,0.0,0.221,0.076
4,1,5,1,0.0,0.8859999999999999,0.037,0.015,0.0,0.061
5,1,5,1,0.0,0.936,0.0069999999999999,0.041,0.016,0.0
1,0,6,1,0.613,0.0,0.071,0.071,0.071,0.173
2,1,6,2,0.001,0.994,0.0,0.001,0.003,0.001
3,1,6,2,0.0,0.986,0.0,0.0,0.0,0.014
