0,5,1,0,0,0.0
1,5,2,0,0,0.0
2,5,3,0,0,1.0
3,5,4,0,0,0.0
4,2,5,0,0,1.0
5,1,6,0,0,0.0
6,5,7,0,0,1.0
0,5,8,0,0,0.0
1,5,9,0,0,0.0
2,4,10,0,0,1.0
3,5,11,0,0,0.0
4,2,12,0,0,1.0
5,1,13,0,0,0.0
6,5,14,0,0,1.0
0,5,15,0,0,0.0
1,5,16,0,0,0.0
2,4,17,0,0,1.0
3,1,18,0,0,0.0
4,4,19,0,0,1.0
5,1,20,0,0,0.0
6,1,21,0,0,1.0
0,5,22,0,0,0.0
1,5,23,0,0,0.0
2,6,24,0,0,1.0
3,1,25,0,0,0.0
4,6,26,0,0,1.0
5,1,27,0,0,0.0
6,1,28,0,0,1.0
0,5,29,0,0,0.0
1,5,30,0,0,0.0
2,1,31,0,0,1.0
3,1,32,0,0,0.0
4,6,33,0,0,1.0
5,1,34,0,0,0.0
6,6,35,0,0,1.0
0,5,36,0,0,0.0
1,1,37,0,0,0.0
2,2,38,0,0,1.0
3,1,39,0,0,0.0
4,6,40,0,0,1.0
5,1,41,0,0,0.0
6,2,42,0,0,1.0
0,5,43,0,0,0.0
1,4,44,0,0,0.0
2,4,45,0,0,1.0
3,1,46,0,0,0.0
4,6,47,0,0,1.0
5,1,48,0,0,0.0
6,2,49,0,0,1.0
0,5,50,0,0,0.0
1,4,51,0,0,0.0
2,4,52,0,0,1.0
3,1,53,0,0,0.0
4,2,54,0,0,1.0
5,1,55,0,0,0.0
6,2,56,0,0,1.0
0,5,57,0,0,0.0
1,4,58,0,0,0.0
2,2,59,0,0,1.0
3,1,60,0,0,0.0
4,4,61,0,0,1.0
5,2,62,0,0,0.0
6,2,63,0,0,1.0
0,5,64,0,0,0.0
1,4,65,0,0,0.0
2,2,66,0,0,1.0
3,1,67,0,0,0.0
4,4,68,0,0,1.0
5,1,69,0,0,0.0
6,2,70,0,0,1.0
0,5,71,0,0,0.0
1,5,72,0,0,0.0
2,2,73,0,0,1.0
3,1,74,0,0,0.0
4,4,75,0,0,1.0
5,1,76,0,0,0.0
6,2,77,0,0,1.0
0,6,78,0,0,0.0
