0,3,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0
1,3,2,0,0,0.0,1.0,0.0,0.0,1.0,0.0
2,5,3,0,0,0.0,1.0,0.0,0.0,1.0,0.0
3,3,4,0,0,0.0,1.0,0.0,0.0,1.0,0.0
4,3,5,0,0,0.0,1.0,0.0,0.0,1.0,0.0
5,3,6,0,0,0.0,1.0,0.0,0.0,1.0,0.0
0,3,7,0,0,0.0,1.0,0.0,0.0,1.0,0.0
1,6,8,0,0,0.0,1.0,0.0,0.0,1.0,0.0
2,5,9,0,0,0.0,1.0,0.0,0.0,1.0,0.0
3,3,10,0,0,0.0,1.0,0.0,0.0,1.0,0.0
4,2,11,0,0,0.0,1.0,0.0,0.0,1.0,0.0
5,5,12,0,0,0.0,1.0,0.0,0.0,1.0,0.0
0,4,13,0,0,0.0,1.0,0.0,0.0,1.0,0.0
1,6,14,0,0,0.0,1.0,0.0,0.0,1.0,0.0
2,5,15,0,0,0.0,1.0,0.0,0.0,1.0,0.0
3,3,16,0,0,0.0,1.0,0.0,0.0,1.0,0.0
4,0,17,0,0,0.0,1.0,0.0,0.0,1.0,0.0
5,5,18,0,0,0.0,1.0,0.0,0.0,1.0,0.0
0,4,19,0,0,0.0,1.0,0.0,0.0,1.0,0.0
1,6,20,0,0,0.0,1.0,0.0,0.0,1.0,0.0
2,5,21,0,0,0.0,1.0,0.0,0.0,1.0,0.0
3,3,22,0,0,0.0,1.0,0.0,0.0,1.0,0.0
4,0,23,0,0,0.0,1.0,0.0,0.0,1.0,0.0
5,5,24,0,0,0.0,1.0,0.0,0.0,1.0,0.0
0,4,25,0,0,0.0,1.0,0.0,0.0,1.0,0.0
1,6,26,0,0,0.0,1.0,0.0,0.0,1.0,0.0
2,5,27,0,0,0.0,1.0,0.0,0.0,1.0,0.0
3,3,28,0,0,0.0,1.0,0.0,0.0,1.0,0.0
4,3,29,0,0,0.0,1.0,0.0,0.0,1.0,0.0
5,5,30,0,0,0.0,1.0,0.0,0.0,1.0,0.0
0,4,31,0,0,0.0,1.0,0.0,0.0,1.0,0.0
1,6,32,0,0,0.0,1.0,0.0,0.0,1.0,0.0
2,5,33,0,0,0.0,1.0,0.0,0.0,1.0,0.0
3,3,34,0,0,0.0,1.0,0.0,0.0,1.0,0.0
4,3,35,0,0,0.0,1.0,0.0,0.0,1.0,0.0
5,5,36,0,0,0.0,1.0,0.0,0.0,1.0,0.0
0,4,37,0,0,0.0,1.0,0.0,0.0,1.0,0.0
1,6,38,0,0,0.0,1.0,0.0,0.0,1.0,0.0
2,5,39,0,0,0.0,1.0,0.0,0.0,1.0,0.0
3,3,40,0,0,0.0,1.0,0.0,0.0,1.0,0.0
4,0,41,0,0,0.0,1.0,0.0,0.0,1.0,0.0
5,5,42,0,0,0.0,1.0,0.0,0.0,1.0,0.0
0,4,43,0,0,0.0,1.0,0.0,0.0,1.0,0.0
1,6,44,0,0,0.0,1.0,0.0,0.0,1.0,0.0
2,5,45,0,0,0.0,1.0,0.0,0.0,1.0,0.0
3,3,46,0,0,0.0,1.0,0.0,0.0,1.0,0.0
4,0,47,0,0,0.0,1.0,0.0,0.0,1.0,0.0
