0,5,1,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,5,2,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2,5,3,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,5,4,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,6,5,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,5,6,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6,6,7,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,2,8,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,5,9,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,5,10,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2,5,11,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,6,12,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,6,13,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,5,14,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6,5,15,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,2,16,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,5,17,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,5,18,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2,0,19,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,6,20,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,0,21,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,5,22,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6,5,23,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,2,24,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,8,25,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,8,26,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2,6,27,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,6,28,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,0,29,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,5,30,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6,6,31,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,5,32,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,2,33,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,8,34,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2,0,35,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,6,36,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,0,37,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,5,38,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6,6,39,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,7,40,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
